trial_number,video_name,Joy,Inspiration,Tenderness,Sadness,Fear,Disgust,Arousal,Valence,Familiarity,Liking,type,subject,actualOrder,stimulus,labelAngie
22.0,35,0.0,0.35,1.12,6.02,1.96,0.77,4.83,1.47,0.0,0.7000000000000001,imagen,2,0.0,sad4,Sadness
33.0,35,0.98,1.05,0.0,5.88,1.33,0.0,4.83,0.84,1.47,1.12,imagen,2,1.0,sad5,Sadness
32.0,35,0.0,0.0,1.89,7.0,7.0,0.0,4.760000000000001,0.0,0.0,0.0,imagen,2,2.0,sad8,Sadness
6.0,35,5.32,0.0,0.0,1.4,5.600000000000001,6.37,5.88,0.0,0.0,0.0,imagen,2,3.0,dis4,Disgust
31.0,35,0.0,0.0,0.0,6.09,4.760000000000001,7.0,5.88,0.0,1.26,0.0,imagen,2,4.0,dis5,Disgust
23.0,35,0.0,0.0,0.0,4.27,7.0,7.0,5.88,0.0,0.0,0.0,imagen,2,5.0,dis8,Disgust
24.0,35,0.0,0.0,0.0,6.23,7.0,5.109999999999999,7.0,0.0,1.26,0.84,imagen,2,6.0,fear4,Fear
5.0,35,0.0,1.68,1.19,4.41,5.739999999999999,1.96,6.16,1.89,3.5,2.1,imagen,2,7.0,fear5,Fear
4.0,35,1.54,1.4,1.4,2.73,4.62,4.97,4.48,1.33,0.0,1.61,imagen,2,8.0,fear8,Disgust
13.0,35,2.45,4.55,0.7000000000000001,0.77,0.0,0.0,2.94,3.5,2.24,2.17,imagen,2,9.0,neu4,Inspiration
15.0,35,2.52,2.31,4.13,0.07,0.0,0.0,4.62,3.5,5.390000000000001,3.5,imagen,2,10.0,neu5,Tenderness
14.0,35,5.32,4.48,1.47,0.0,2.59,0.0,5.81,4.899999999999999,5.739999999999999,5.04,imagen,2,11.0,neu8,Joy
27.0,35,5.25,4.62,3.99,0.0,0.0,0.0,3.29,4.48,1.61,4.48,imagen,2,12.0,joy4,Joy
37.0,35,6.02,4.899999999999999,5.88,0.0,0.07,0.0,5.390000000000001,6.23,2.45,5.53,imagen,2,13.0,joy5,Joy
11.0,35,7.0,7.0,5.18,0.0,0.0,0.0,6.09,7.0,4.55,7.0,imagen,2,14.0,joy8,Neutro
38.0,35,5.53,5.46,5.739999999999999,0.0,0.0,0.0,4.62,5.18,3.08,5.109999999999999,imagen,2,15.0,ten4,Tenderness
25.0,35,5.18,5.95,6.72,0.0,0.0,0.0,5.46,6.510000000000001,3.71,5.18,imagen,2,16.0,ten5,Tenderness
26.0,35,4.2,3.57,5.46,0.0,0.0,0.0,4.760000000000001,5.739999999999999,0.0,4.97,imagen,2,17.0,ten8,Tenderness
12.0,35,2.59,5.67,4.97,0.0,0.0,0.0,4.69,7.0,3.5,4.55,imagen,2,18.0,ins4,Inspiration
39.0,35,3.99,5.67,5.739999999999999,1.68,2.59,0.0,2.87,6.09,0.0,2.52,imagen,2,19.0,ins5,Tenderness
10.0,35,5.04,6.44,4.83,4.62,0.0,0.0,4.55,6.23,0.0,4.55,imagen,2,20.0,ins8,Inspiration
19.0,35,6.58,1.61,4.41,2.03,0.0,0.0,7.0,5.46,7.0,6.510000000000001,video,2,0.0,sad4,Joy
36.0,35,0.0,0.0,0.0,6.72,5.18,6.09,5.32,0.77,0.0,0.77,video,2,1.0,sad5,Sadness
35.0,35,0.0,0.0,0.0,7.0,1.4,1.47,3.5,0.0,0.98,0.0,video,2,2.0,sad8,Sadness
3.0,35,0.0,0.0,0.0,1.26,4.48,5.32,4.55,1.54,0.0,0.56,video,2,3.0,dis4,Disgust
34.0,35,0.0,0.0,0.07,0.0,5.67,6.02,5.18,0.42,1.89,0.56,video,2,4.0,dis5,Disgust
20.0,35,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,video,2,5.0,dis8,Disgust
21.0,35,0.0,0.0,0.0,5.95,7.0,7.0,7.0,0.0,0.0,0.0,video,2,6.0,fear4,Fear
2.0,35,0.0,0.0,0.0,3.22,7.0,6.09,7.0,0.91,0.0,0.0,video,2,7.0,fear5,Fear
1.0,35,2.38,0.28,0.0,4.899999999999999,6.58,4.55,6.5,1.0,0.0,0.0,video,2,8.0,fear8,Fear
16.0,35,1.54,1.54,0.0,0.0,0.0,0.0,1.61,2.1,4.48,4.41,video,2,9.0,neu4,Neutro
18.0,35,0.0,4.55,0.0,0.0,0.0,0.0,1.96,4.2,2.24,3.5,video,2,10.0,neu5,Inspiration
17.0,35,0.0,1.82,0.0,0.0,0.0,0.0,1.75,3.99,2.59,1.61,video,2,11.0,neu8,Inspiration
30.0,35,5.53,2.1,1.33,0.0,0.0,0.07,4.55,5.32,0.0,4.69,video,2,12.0,joy4,Joy
40.0,35,3.5,1.75,0.7000000000000001,2.17,0.0,0.0,4.62,2.03,1.33,1.68,video,2,13.0,joy5,Joy
8.0,35,6.44,3.99,4.760000000000001,1.12,0.07,0.0,4.97,4.27,4.899999999999999,5.88,video,2,14.0,joy8,Joy
41.0,35,5.53,5.18,6.44,0.0,2.1,0.0,5.18,5.88,4.2,5.739999999999999,video,2,15.0,ten4,Tenderness
28.0,35,5.25,5.88,6.510000000000001,2.24,0.0,0.0,5.95,7.0,5.88,7.0,video,2,16.0,ten5,Tenderness
29.0,35,5.81,5.95,7.0,2.17,0.0,0.0,5.67,7.0,3.5,5.739999999999999,video,2,17.0,ten8,Tenderness
9.0,35,4.69,6.09,1.75,0.0,0.0,0.0,5.53,7.0,0.0,4.97,video,2,18.0,ins4,Inspiration
42.0,35,3.5,5.32,1.33,0.07,0.77,0.84,4.83,6.37,3.64,5.04,video,2,19.0,ins5,Inspiration
7.0,35,4.760000000000001,5.46,4.2,0.0,0.0,0.0,5.739999999999999,6.93,6.3,5.32,video,2,20.0,ins8,Inspiration
37.0,28,4.97,5.04,6.72,0.0,0.0,0.0,5.109999999999999,5.18,0.35,5.390000000000001,imagen,3,0.0,sad4,Tenderness
38.0,28,0.14,3.5,4.41,4.34,1.05,0.0,3.71,4.34,3.5,4.55,imagen,3,1.0,sad5,Tenderness
39.0,28,0.0,1.33,1.47,5.46,5.53,0.49,1.82,3.5,0.0,1.47,imagen,3,2.0,sad8,Fear
26.0,28,0.0,0.0,0.0,0.0,6.58,5.95,7.0,0.0,5.46,0.0,imagen,3,3.0,dis4,Fear
16.0,28,0.0,0.0,1.4,0.0,1.26,3.5,1.89,1.26,3.5,1.12,imagen,3,4.0,dis5,Disgust
27.0,28,0.0,0.0,0.0,0.0,3.5,6.3,4.34,0.7000000000000001,0.7000000000000001,0.77,imagen,3,5.0,dis8,Disgust
17.0,28,1.47,4.97,0.0,0.0,6.649999999999999,0.0,0.0,0.0,0.0,0.0,imagen,3,6.0,fear4,Fear
18.0,28,0.42,0.0,0.0,6.37,5.739999999999999,0.0,6.23,2.52,7.0,2.1,imagen,3,7.0,fear5,Sadness
25.0,28,0.0,5.390000000000001,0.0,0.0,5.46,0.28,7.0,4.55,3.64,1.12,imagen,3,8.0,fear8,Fear
7.0,28,3.5,3.5,4.06,0.0,0.0,0.0,0.0,3.5,0.0,3.5,imagen,3,9.0,neu4,Tenderness
9.0,28,0.0,0.35,0.42,0.0,0.0,0.0,0.0,3.5,3.36,3.5,imagen,3,10.0,neu5,Tenderness
8.0,28,0.7000000000000001,3.5,4.899999999999999,0.0,3.5,0.0,3.57,4.27,6.72,3.5,imagen,3,11.0,neu8,Tenderness
5.0,28,3.5,0.42,0.42,0.0,0.0,0.0,0.0,4.760000000000001,0.0,3.5,imagen,3,12.0,joy4,Joy
32.0,28,4.760000000000001,4.06,3.92,0.0,0.0,0.0,0.91,4.62,5.67,5.32,imagen,3,13.0,joy5,Joy
