sub-02: vid-33 rating-31 ima-32 fade-30 
sub-03: ima-32 rating-31 vid-33 fade-30 
sub-04: ima-50 rating-49 fade-48 vid-51 
sub-05: vid-6 rating-4 ima-5 fade-3 
sub-06: ima-23 fade-21 rating-22 vid-24 
sub-07: vid-51 rating-49 ima-50 fade-48 
sub-08: ima-41 rating-40 vid-42 fade-37 
sub-09: ima-5 fade-3 rating-4 vid-6 
sub-10: ima-23 rating-22 fade-21 vid-24 
sub-11: ima-23 rating-22 fade-21 vid-24 
sub-12: ima-32 fade-30 rating-31 vid-33 
sub-13: vid-24 rating-22 ima-23 fade-21 
sub-14: vid-24 rating-22 ima-23 fade-21 
sub-15: ima-5 fade-3 rating-4 vid-6 
sub-16: vid-24 rating-22 ima-23 fede-21 
sub-17: vid-6 rating-4 ima-5 fade-3 
sub-18: vid-6 rating-4 ima-5 fade-3 
sub-19: vid-6 rating-4 ima-5 fade-3 
sub-20: vid-6 rating-4 ima-5 fade-3 
sub-21: vid-36 rating-34 ima-35 fade-33 
sub-22: vid-56 rating-54 ima-55 fade-53 
sub-23: vid-36 rating-34 ima-35 fade-33 
sub-24: vid-36 rating-34 ima-35 fade-33 
sub-25: vid-6 rating-4 ima-5 fade-3 
sub-26: vid-6 rating-4 ima-5 fade-3 
sub-27: vid-6 rating-4 ima-5 fade-3 
sub-28: vid-16 rating-14 ima-15 fade-13 
sub-29: vid-26 rating-24 ima-25 fade-23 
sub-30: vid-26 rating-24 ima-25 fade-23 
sub-31: vid-6 rating-4 ima-5 fade-3 
sub-32: vid-6 rating-4 ima-5 fade-3 
sub-33: vid-15 rating-13 ima-14 fade-12 
sub-34: vid-6 rating-4 ima-5 fade-3 
sub-35: vid-6 rating-4 ima-5 fade-3 
sub-36: vid-6 rating-4 ima-5 fade-3 
sub-37: vid-6 rating-4 ima-5 fade-3 
sub-38: vid-16 rating-14 ima-15 fade-13 
sub-39: vid-9 rating-7 ima-8 fade-6 
sub-40: vid-6 rating-4 ima-5 fade-3 
sub-41: vid-56 rating-54 ima-55 fade-53 
sub-42: vid-26 rating-24 ima-25 fade-23 
sub-43: vid-38 rating-36 ima-37 fade-35 
sub-44: vid-16 rating-14 ima-15 fade-13 
sub-45: vid-16 rating-14 ima-15 fade-13 
sub-46: vid-10 rating-8 ima-9 fade-7 
sub-47: vid-10 rating-8 ima-9 fade-7 
sub-48: vid-6 rating-4 ima-5 fade-3 
sub-49: vid-6 rating-4 ima-5 fade-3 
sub-50: vid-16 rating-14 ima-15 fade-13 
sub-51: vid-26 rating-24 ima-25 fade-23 
sub-52: vid-6 rating-4 ima-5 fade-3 
sub-53: vid-38 rating-33 ima-36 fade-34 
sub-54: vid-6 rating-4 ima-5 fade-3 
